,psraid,form_abc,q2a,q2b,q2ef2,q6f2,q7ef2,q7ff2,q7gf2,q7hf2,q8df2,q8ef2,q8ff2,q11fa,q12fb,q13fc,educ2,schl,qe1,qe3,q16,q17,q18,q22f2,q23,q27,q32,q35,q49,q50a,q50b,q50c,q53ef2,q53ff2,q53gf2,q53hf2,q54a,q54b,q54c,q54d,q54e,q54f,q54g,q54h,sex,age,recage,recage2,gen5,marital,parent,hisp,race3m1,race3m2,race3m3,race3m4,racethn,racethn2,racecmb,birth_hisp,usborn1a,relig,chr,born,attend,income,reg,party,partyln,partysum,partyideo,ideo,ownrent,labor,hh1,hh3,ql1,ql1a,qc1,usr,cregion,state,density,child,laborsum,adults,ll,cp
4162,211203,1,1,2,2,1,2,3,2,1,1,1,1,2,NA,NA,8,6,3,1,1,NA,3,1,2,2,1,1,1,2,1,1,4,2,3,1,1,1,2,5,1,4,1,5,1,55,5,3,3,1,1,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,2,3,8,1,2,NA,2,5,4,1,4,3,2,NA,NA,1,U,3,37,4,1,1,2,1,1
637,102686,2,1,2,1,2,1,2,1,1,1,1,1,NA,4,NA,6,5,3,1,1,NA,1,1,2,2,1,2,2,3,2,1,4,2,2,1,1,1,1,3,1,1,1,3,2,42,3,2,4,1,2,2,1,NA,NA,NA,1,1,1,NA,9,7,NA,NA,4,8,1,2,NA,2,5,5,1,4,2,2,1,NA,NA,R,3,13,2,0,1,2,1,1
4711,213577,3,1,1,1,1,2,2,2,1,2,2,1,NA,NA,2,5,6,3,1,1,NA,1,1,1,1,1,1,2,4,1,3,1,2,3,2,2,2,2,1,3,3,1,1,1,57,5,3,3,1,2,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,1,1,8,1,1,NA,1,1,1,1,1,3,3,NA,NA,1,U,3,48,5,0,1,3,1,1
271,101081,1,1,2,2,2,2,2,1,1,1,1,1,9,NA,NA,3,6,1,2,1,NA,1,3,1,1,NA,1,2,NA,NA,NA,1,1,1,1,2,1,5,5,2,3,2,5,1,64,5,3,3,3,2,2,1,NA,NA,NA,1,1,1,NA,1,12,NA,NA,6,5,1,3,9,9,3,2,2,NA,1,NA,1,NA,NA,U,4,41,1,0,1,1,1,1
4885,214326,3,2,3,2,2,1,2,1,1,2,2,1,NA,NA,4,8,6,3,1,1,NA,2,1,1,2,1,1,2,1,1,1,3,3,1,2,1,1,1,5,2,5,1,5,2,36,3,2,4,6,2,2,1,NA,NA,NA,1,1,1,NA,1,5,NA,NA,5,5,1,2,NA,2,5,5,2,4,1,NA,NA,NA,1,U,4,6,5,0,1,1,1,1
2423,204415,1,1,2,2,2,1,2,1,1,1,2,2,2,NA,NA,3,6,3,2,1,NA,1,2,2,1,2,1,2,NA,NA,NA,3,2,2,2,1,3,1,4,4,4,2,2,2,18,1,1,5,6,2,2,1,NA,NA,NA,1,1,1,NA,1,2,NA,2,3,1,3,2,NA,2,4,3,4,4,4,3,NA,NA,1,U,3,40,4,1,1,3,1,1
2618,205120,3,2,1,1,1,2,2,1,1,1,2,1,NA,NA,2,8,6,3,1,1,NA,2,1,2,2,1,1,2,1,1,1,3,3,2,2,3,1,2,2,5,5,1,5,1,50,4,3,4,1,1,2,3,NA,NA,NA,4,5,3,NA,2,7,NA,NA,4,9,1,3,2,2,3,4,1,4,5,3,NA,NA,1,S,2,27,5,2,1,3,1,1
2063,203040,1,1,2,1,1,9,2,1,1,1,1,1,5,NA,NA,6,6,3,1,4,1,4,3,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,34,2,2,5,6,2,1,7,NA,NA,NA,3,4,5,3,NA,12,NA,NA,6,3,3,3,1,1,3,4,2,4,4,3,NA,NA,2,U,4,6,3,1,1,3,0,1
1536,201115,3,2,2,2,1,2,2,1,1,1,2,1,NA,NA,2,5,6,3,1,1,NA,1,2,2,1,2,2,1,2,2,3,4,3,4,2,1,1,1,1,5,3,5,3,1,27,2,1,5,6,2,2,3,NA,NA,NA,4,5,3,NA,1,12,NA,NA,5,5,9,2,NA,2,5,4,1,NA,2,2,NA,NA,1,U,1,44,4,0,1,2,1,1
1159,104895,1,1,2,2,2,3,2,2,1,2,2,3,3,NA,NA,4,6,3,1,1,NA,1,1,3,1,1,2,2,NA,NA,NA,5,1,1,1,1,1,2,5,1,2,1,5,2,47,4,2,4,1,1,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,2,2,9,1,3,1,1,3,3,1,4,3,2,1,NA,NA,S,3,48,1,1,1,2,1,1
3802,209910,3,2,2,5,2,1,2,1,1,3,1,2,NA,NA,1,5,6,1,2,1,NA,4,9,2,1,NA,1,2,1,2,1,4,3,4,2,1,2,3,3,2,3,2,3,2,58,5,3,3,1,2,2,1,NA,NA,NA,1,1,1,NA,1,3,NA,2,2,6,1,1,NA,1,1,2,1,4,2,2,NA,NA,2,R,4,56,1,0,1,2,0,1
3475,208668,2,1,2,1,2,2,2,1,1,3,3,1,NA,2,NA,8,6,3,1,1,NA,1,2,3,1,1,1,3,2,1,2,5,3,4,2,2,1,2,5,1,2,1,5,1,29,2,1,5,1,1,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,2,2,9,1,1,NA,1,1,2,4,4,5,4,NA,NA,2,S,1,42,2,1,1,3,0,1
1465,200890,3,1,4,2,2,2,2,1,1,2,2,1,NA,NA,2,8,6,3,1,1,NA,3,2,1,2,1,1,2,1,1,1,5,2,2,2,3,2,2,5,2,2,2,5,2,44,3,2,4,1,1,2,1,NA,NA,NA,1,1,1,NA,1,5,NA,NA,3,8,1,2,NA,2,5,5,1,1,5,2,NA,NA,1,U,3,11,5,3,1,2,1,1
1507,201029,2,2,2,2,2,1,9,1,1,2,1,1,NA,2,NA,3,6,3,1,1,NA,1,3,1,1,2,2,2,NA,NA,NA,3,3,3,2,2,3,3,2,3,4,2,2,1,49,4,2,4,6,1,2,1,NA,NA,NA,1,1,1,NA,1,12,NA,NA,6,3,3,2,NA,2,4,2,1,NA,2,1,NA,NA,2,U,4,41,1,1,1,1,0,1
2316,203991,3,1,1,1,2,1,2,2,1,1,1,1,NA,NA,2,3,6,3,1,1,NA,1,1,2,1,2,1,2,NA,NA,NA,3,1,2,2,2,2,3,2,2,2,2,3,1,53,4,3,3,1,2,2,1,NA,NA,NA,1,1,1,NA,1,12,NA,NA,4,99,1,2,NA,2,9,9,1,2,2,2,NA,NA,2,R,3,40,1,0,1,2,0,1
